seed,generation,feasible_count,front0_count,feasible_front0_count,min_avg_distance_km,max_coverage_80km_pct,min_p95_distance_km,min_budget_violation_brl
123,30,100,15,15,43.749515,87.286875,105.518198,0.0
123,31,100,15,15,43.749515,87.286875,105.518198,0.0
123,32,100,7,7,43.749515,88.42149,99.435692,0.0
123,33,100,8,8,43.749515,88.42149,99.435692,0.0
123,34,100,8,8,43.749515,88.42149,99.435692,0.0
123,35,100,8,8,43.749515,88.42149,99.435692,0.0
123,36,100,10,10,43.749515,88.42149,99.435692,0.0
123,37,100,11,11,43.749515,88.42149,99.435692,0.0
123,38,100,11,11,43.749515,88.42149,99.435692,0.0
123,39,100,11,11,43.749515,88.42149,99.435692,0.0
123,40,100,9,9,42.163865,88.42149,99.435692,0.0
123,41,100,9,9,42.163865,88.42149,99.435692,0.0
123,42,100,9,9,42.163865,88.42149,99.435692,0.0
123,43,100,9,9,42.163865,88.42149,99.435692,0.0
123,44,100,9,9,42.163865,88.42149,99.435692,0.0
123,45,100,9,9,42.163865,88.42149,99.435692,0.0
123,46,100,9,9,42.163865,88.42149,99.435692,0.0
123,47,100,11,11,42.163865,88.42149,99.435692,0.0
123,48,100,11,11,42.163865,88.42149,99.435692,0.0
123,49,100,11,11,42.163865,88.42149,99.435692,0.0
123,50,100,12,12,42.163865,88.42149,99.435692,0.0
123,51,100,12,12,42.163865,88.42149,99.435692,0.0
123,52,100,12,12,42.163865,88.42149,99.435692,0.0
123,53,100,12,12,42.163865,88.42149,99.435692,0.0
123,54,100,14,14,42.163865,88.42149,99.435692,0.0
123,55,100,15,15,42.163865,88.678388,99.435692,0.0
123,56,100,13,13,42.163865,88.678388,99.435692,0.0
123,57,100,13,13,42.163865,88.678388,99.435692,0.0
123,58,100,13,13,42.163865,88.678388,99.435692,0.0
123,59,100,13,13,42.163865,88.678388,99.435692,0.0
123,60,100,14,14,42.163865,88.678388,99.435692,0.0
123,61,100,14,14,42.163865,88.678388,99.435692,0.0
123,62,100,14,14,42.163865,88.678388,99.435692,0.0
123,63,100,17,17,41.245807,88.678388,99.435692,0.0
123,64,100,17,17,41.245807,88.678388,99.435692,0.0
123,65,100,17,17,41.245807,88.678388,99.435692,0.0
123,66,100,17,17,41.245807,88.678388,99.435692,0.0
123,67,100,17,17,41.245807,88.678388,99.435692,0.0
123,68,100,18,18,41.245807,88.678388,99.435692,0.0
123,69,100,14,14,41.245807,89.751924,99.435692,0.0
123,70,100,14,14,41.245807,89.751924,99.435692,0.0
123,71,100,13,13,41.245807,89.751924,99.435692,0.0
123,72,100,6,6,41.245807,89.751924,99.435692,0.0
123,73,100,6,6,41.245807,89.751924,99.435692,0.0
123,74,100,6,6,41.245807,89.751924,99.435692,0.0
123,75,100,6,6,41.245807,89.751924,99.435692,0.0
123,76,100,6,6,41.245807,89.751924,99.435692,0.0
123,77,100,6,6,41.245807,89.751924,99.435692,0.0
123,78,100,7,7,41.245807,89.751924,99.435692,0.0
123,79,100,7,7,41.245807,89.751924,99.435692,0.0
123,80,100,7,7,41.245807,89.751924,99.435692,0.0
123,81,100,7,7,41.245807,89.751924,99.435692,0.0
123,82,100,7,7,40.883227,89.751924,99.435692,0.0
123,83,100,7,7,40.883227,89.751924,99.435692,0.0
123,84,100,7,7,40.883227,89.751924,99.435692,0.0
123,85,100,7,7,40.883227,89.751924,99.435692,0.0
123,86,100,7,7,40.883227,89.751924,99.435692,0.0
123,87,100,7,7,40.883227,89.751924,99.435692,0.0
123,88,100,7,7,40.883227,89.751924,99.435692,0.0
123,89,100,7,7,40.883227,89.751924,99.435692,0.0
123,90,100,8,8,40.883227,89.751924,99.435692,0.0
123,91,100,8,8,40.883227,89.751924,99.435692,0.0
123,92,100,8,8,40.883227,89.751924,99.435692,0.0
123,93,100,8,8,40.883227,89.751924,99.435692,0.0
123,94,100,8,8,40.883227,89.751924,99.435692,0.0
123,95,100,11,11,40.883227,89.751924,99.435692,0.0
123,96,100,11,11,40.883227,89.751924,99.435692,0.0
123,97,100,11,11,40.883227,89.751924,99.435692,0.0
123,98,100,12,12,40.617051,89.751924,99.435692,0.0
123,99,100,12,12,40.617051,89.751924,99.435692,0.0
123,100,100,13,13,40.617051,89.751924,99.435692,0.0
123,101,100,16,16,40.617051,90.315702,99.435692,0.0
123,102,100,16,16,40.617051,90.315702,99.435692,0.0
123,103,100,18,18,40.617051,90.315702,99.435692,0.0
123,104,100,18,18,40.617051,90.315702,99.435692,0.0
123,105,100,17,17,40.617051,90.315702,99.435692,0.0
123,106,100,10,10,40.617051,90.315702,97.538056,0.0
123,107,100,12,12,40.617051,90.315702,97.538056,0.0
123,108,100,13,13,40.617051,90.315702,97.538056,0.0
123,109,100,14,14,40.617051,90.315702,97.538056,0.0
123,110,100,14,14,40.617051,90.315702,97.538056,0.0
123,111,100,14,14,40.617051,90.315702,97.538056,0.0
123,112,100,14,14,40.617051,90.315702,97.538056,0.0
